"name","returnPeriod","displayDate","value"
"tx260_1981_2010","y2",2016-10-06,22.8663574481042
"tx260_1981_2010","y2",2016-10-07,22.7232290709432
"tx260_1981_2010","y2",2016-10-08,22.5789672198113
"tx260_1981_2010","y2",2016-10-09,22.4333114925627
"tx260_1981_2010","y2",2016-10-10,22.2860014880296
"tx260_1981_2010","y2",2016-10-11,22.1367768059242
"tx260_1981_2010","y2",2016-10-12,21.9853770467407
"tx260_1981_2010","y2",2016-10-13,21.8315418116589
"tx260_1981_2010","y2",2016-10-14,21.6750114449027
"tx260_1981_2010","y2",2016-10-15,21.5156584206183
"tx260_1981_2010","y2",2016-10-16,21.353638473546
"tx260_1981_2010","y2",2016-10-17,21.1891439389959
"tx260_1981_2010","y2",2016-10-18,21.0223671524906
"tx260_1981_2010","y2",2016-10-19,20.8535004496727
"tx260_1981_2010","y2",2016-10-20,20.6827361662134
"tx260_1981_2010","y2",2016-10-21,20.5102666377211
"tx260_1981_2010","y2",2016-10-22,20.3362841996514
"tx260_1981_2010","y2",2016-10-23,20.1609811872175
"tx260_1981_2010","y2",2016-10-24,19.9845499353014
"tx260_1981_2010","y2",2016-10-25,19.8071827783658
"tx260_1981_2010","y2",2016-10-26,19.629072050367
"tx260_1981_2010","y2",2016-10-27,19.450410084668
"tx260_1981_2010","y2",2016-10-28,19.2713892139527
"tx260_1981_2010","y2",2016-10-29,19.0922017701411
"tx260_1981_2010","y2",2016-10-30,18.9130400843044
"tx260_1981_2010","y2",2016-10-31,18.7340964865821
"tx260_1981_2010","y2",2016-11-01,18.5555633060983
"tx260_1981_2010","y2",2016-11-02,18.37763287088
"tx260_1981_2010","y2",2016-11-03,18.2004975077758
"tx260_1981_2010","y2",2016-11-04,18.024349542375
"tx260_1981_2010","y2",2016-11-05,17.8493812989278
"tx260_1981_2010","y2",2016-11-06,17.6757851002661
"tx260_1981_2010","y2",2016-11-07,17.5037532677252
"tx260_1981_2010","y2",2016-11-08,17.333478121066
